App Name,App Id,Platform,Keyword,Store Domain,Store,Note,Last Update,Ranking,Change,Popularity,Difficulty,Apps in Ranking
112,2,iphone,112,pl,🇵🇱 Poland,,2025-02-11 17:31:41 +0000,1000,0,18,30,204
112,2,iphone,emergency,pl,🇵🇱 Poland,,2025-02-11 17:31:56 +0000,1000,0,5,53,230
112,2,iphone,help,pl,🇵🇱 Poland,,2025-02-11 17:32:03 +0000,1000,0,5,49,236
112,2,iphone,pomoc,pl,🇵🇱 Poland,,2025-02-11 17:32:11 +0000,1000,0,5,39,225
112,2,iphone,ratunek,pl,🇵🇱 Poland,,2025-02-11 17:32:18 +0000,1000,0,45,39,116
112,2,iphone,sos,pl,🇵🇱 Poland,,2025-02-11 17:32:56 +0000,1000,0,41,37,238
112,2,iphone,zadzwoń po pomoc,pl,🇵🇱 Poland,,2025-02-11 17:33:28 +0000,1000,0,5,5,0
112,2,iphone,call for help,pl,🇵🇱 Poland,,2025-02-11 17:33:44 +0000,1000,0,5,41,88
112,2,iphone,aplikacja sos,pl,🇵🇱 Poland,,2025-02-11 17:58:18 +0000,1000,0,5,31,230
112,2,iphone,szybkie wybieranie 112,pl,🇵🇱 Poland,,2025-02-11 17:58:29 +0000,1000,0,5,5,0
112,2,iphone,pogotowie,pl,🇵🇱 Poland,,2025-02-11 17:59:29 +0000,1000,0,5,29,43
112,2,iphone,przycisk paniki,pl,🇵🇱 Poland,,2025-02-11 17:59:45 +0000,1000,0,5,5,0
112,2,iphone,999,pl,🇵🇱 Poland,,2025-02-11 18:00:00 +0000,1000,0,5,48,162
112,2,iphone,998,pl,🇵🇱 Poland,,2025-02-11 18:00:05 +0000,1000,0,5,5,9
112,2,iphone,służby ratunkowe,pl,🇵🇱 Poland,,2025-02-11 18:00:26 +0000,1000,0,5,5,0
112,2,iphone,pomoc seniorom,pl,🇵🇱 Poland,,2025-02-11 18:00:52 +0000,1000,0,5,5,0
112,2,iphone,seniorzy,pl,🇵🇱 Poland,,2025-02-11 18:01:01 +0000,1000,0,5,5,10
112,2,iphone,ratuj życie,pl,🇵🇱 Poland,,2025-02-11 18:01:09 +0000,1000,0,5,10,1
112,2,iphone,telefon alarmowy,pl,🇵🇱 Poland,,2025-02-11 18:01:37 +0000,1000,0,5,5,0
112,2,iphone,pogotowie gazowe,pl,🇵🇱 Poland,,2025-02-11 18:01:46 +0000,1000,0,5,5,0
112,2,iphone,lekarz,pl,🇵🇱 Poland,,2025-02-13 08:05:26 +0000,1000,0,27,42,224
112,2,iphone,policja,pl,🇵🇱 Poland,,2025-02-13 08:05:58 +0000,1000,0,37,37,232
112,2,iphone,straż,pl,🇵🇱 Poland,,2025-02-13 08:06:08 +0000,1000,0,5,36,57
112,2,iphone,pożar,pl,🇵🇱 Poland,,2025-02-13 08:06:16 +0000,1000,0,5,5,11
112,2,iphone,senior,pl,🇵🇱 Poland,,2025-02-13 08:06:43 +0000,1000,0,5,54,232
112,2,iphone,dziadek,pl,🇵🇱 Poland,,2025-02-13 08:07:04 +0000,1000,0,5,5,18
112,2,iphone,babcia,pl,🇵🇱 Poland,,2025-02-13 08:07:12 +0000,1000,0,23,42,217
112,2,iphone,mama,pl,🇵🇱 Poland,,2025-02-13 08:07:30 +0000,1000,0,5,43,230
112,2,iphone,gopr,pl,🇵🇱 Poland,,2025-02-13 20:51:15 +0000,1000,0,5,45,214
112,2,iphone,góry,pl,🇵🇱 Poland,,2025-02-13 20:51:24 +0000,1000,0,5,48,153
112,2,iphone,997,pl,🇵🇱 Poland,,2025-02-13 20:51:34 +0000,1000,0,5,5,82
112,2,iphone,ambulance,pl,🇵🇱 Poland,,2025-02-13 20:51:42 +0000,1000,0,5,37,179
