App Name,App Id,Platform,Keyword,Store Domain,Store,Note,Last Update,Ranking,Change,Popularity,Difficulty,Apps in Ranking
Temporary App 9,9,iphone,góry,pl,🇵🇱 Poland,,2025-02-20 10:00:34 +0000,1000,0,5,48,147
Temporary App 9,9,iphone,góra,pl,🇵🇱 Poland,,2025-02-20 10:00:39 +0000,1000,0,5,12,211
Temporary App 9,9,iphone,szczyt,pl,🇵🇱 Poland,,2025-02-20 10:00:44 +0000,1000,0,5,18,29
Temporary App 9,9,iphone,szczyty,pl,🇵🇱 Poland,,2025-02-20 10:00:54 +0000,1000,0,5,44,140
Temporary App 9,9,iphone,tatry,pl,🇵🇱 Poland,,2025-02-20 10:01:29 +0000,1000,0,5,40,73
Temporary App 9,9,iphone,beskidy,pl,🇵🇱 Poland,,2025-02-20 10:01:35 +0000,1000,0,5,36,55
Temporary App 9,9,iphone,pttk,pl,🇵🇱 Poland,,2025-02-20 10:01:39 +0000,1000,0,5,20,19
Temporary App 9,9,iphone,korona gór,pl,🇵🇱 Poland,,2025-02-20 10:01:44 +0000,1000,0,5,15,27
Temporary App 9,9,iphone,mountains,pl,🇵🇱 Poland,,2025-02-20 10:02:10 +0000,1000,0,5,57,218
Temporary App 9,9,iphone,mountain,pl,🇵🇱 Poland,,2025-02-20 10:02:15 +0000,1000,0,5,44,217
Temporary App 9,9,iphone,zakupy,pl,🇵🇱 Poland,,2025-02-23 09:04:18 +0000,1000,0,38,56,235
Temporary App 9,9,iphone,lidlk,pl,🇵🇱 Poland,,2025-02-23 09:04:24 +0000,1000,0,5,51,150
Temporary App 9,9,iphone,lidl,pl,🇵🇱 Poland,,2025-02-23 09:04:28 +0000,1000,0,74,44,142
Temporary App 9,9,iphone,promocje,pl,🇵🇱 Poland,,2025-02-23 09:04:32 +0000,1000,0,23,48,231
Temporary App 9,9,iphone,biedronka,pl,🇵🇱 Poland,,2025-02-23 09:04:40 +0000,1000,0,80,84,50
Temporary App 9,9,iphone,kaufland,pl,🇵🇱 Poland,,2025-02-23 09:04:48 +0000,1000,0,64,48,56
Temporary App 9,9,iphone,rossman,pl,🇵🇱 Poland,,2025-02-23 09:04:58 +0000,1000,0,57,52,76
Temporary App 9,9,iphone,rossmann,pl,🇵🇱 Poland,,2025-02-23 09:05:09 +0000,1000,0,82,39,67
Temporary App 9,9,iphone,promocja,pl,🇵🇱 Poland,,2025-02-23 09:05:43 +0000,1000,0,5,48,231
