App Name,App Id,Platform,Keyword,Store Domain,Store,Note,Last Update,Ranking,Change,Popularity,Difficulty,Apps in Ranking
sightseeing,5,iphone,sightseeing,us,🇺🇸 US,,2025-02-11 18:09:16 +0000,1000,0,5,61,219
sightseeing,5,iphone,sightseeing ai,us,🇺🇸 US,,2025-02-11 18:09:21 +0000,1000,0,5,5,18
sightseeing,5,iphone,image recognition,us,🇺🇸 US,,2025-02-11 18:09:28 +0000,1000,0,5,94,228
sightseeing,5,iphone,building recognition,us,🇺🇸 US,,2025-02-11 18:09:37 +0000,1000,0,5,11,16
sightseeing,5,iphone,landmark recognition,us,🇺🇸 US,,2025-02-11 18:09:48 +0000,1000,0,5,43,209
sightseeing,5,iphone,guess monument,us,🇺🇸 US,,2025-02-11 18:09:55 +0000,1000,0,5,5,8
sightseeing,5,iphone,travel balance,us,🇺🇸 US,,2025-02-11 18:10:29 +0000,1000,0,5,93,78
sightseeing,5,iphone,travel,us,🇺🇸 US,,2025-02-11 18:10:35 +0000,1000,0,49,98,239
sightseeing,5,iphone,building,us,🇺🇸 US,,2025-02-11 18:24:38 +0000,1000,0,41,74,244
sightseeing,5,iphone,paiting,us,🇺🇸 US,,2025-02-11 18:24:59 +0000,1000,0,5,89,216
sightseeing,5,iphone,picture,us,🇺🇸 US,,2025-02-11 18:25:24 +0000,1000,0,44,97,238
sightseeing,5,iphone,ai guide,us,🇺🇸 US,,2025-02-11 18:25:55 +0000,1000,0,5,41,242
sightseeing,5,iphone,guide,us,🇺🇸 US,,2025-02-11 18:26:01 +0000,1000,0,27,94,235
sightseeing,5,iphone,building scanner,us,🇺🇸 US,,2025-02-11 18:26:07 +0000,1000,0,5,75,91
sightseeing,5,iphone,object detection,us,🇺🇸 US,,2025-02-11 18:29:35 +0000,1000,0,5,43,238
