App Name,App Id,Platform,Keyword,Store Domain,Store,Note,Last Update,Ranking,Change,Popularity,Difficulty,Apps in Ranking
Fiszeczki,1,iphone,training,pl,🇵🇱 Poland,,2025-02-11 15:15:58 +0000,1000,0,23,57,236
Fiszeczki,1,iphone,organist,pl,🇵🇱 Poland,,2025-02-11 15:55:17 +0000,1000,0,5,45,241
Fiszeczki,1,iphone,trener,pl,🇵🇱 Poland,,2025-02-11 15:55:36 +0000,1000,0,5,47,240
Fiszeczki,1,iphone,procrastination,pl,🇵🇱 Poland,,2025-02-11 18:11:23 +0000,1000,0,5,43,224
Fiszeczki,1,iphone,python,pl,🇵🇱 Poland,,2025-02-11 18:12:12 +0000,1000,0,37,54,208
Fiszeczki,1,iphone,typescript,pl,🇵🇱 Poland,,2025-02-11 18:12:19 +0000,1000,0,5,32,212
Fiszeczki,1,iphone,c++,pl,🇵🇱 Poland,,2025-02-11 18:12:31 +0000,1000,0,5,46,238
Fiszeczki,1,iphone,javascript,pl,🇵🇱 Poland,,2025-02-11 18:12:38 +0000,1000,0,5,39,205
Fiszeczki,1,iphone,python,us,🇺🇸 US,,2025-02-11 18:13:47 +0000,1000,0,48,58,208
Fiszeczki,1,iphone,flashcards,us,🇺🇸 US,,2025-02-11 18:14:44 +0000,1000,0,42,73,238
Fiszeczki,1,iphone,html,us,🇺🇸 US,,2025-02-11 18:15:35 +0000,1000,0,34,50,214
Fiszeczki,1,iphone,css,us,🇺🇸 US,,2025-02-11 18:15:44 +0000,1000,0,25,53,207
Fiszeczki,1,iphone,react,us,🇺🇸 US,,2025-02-11 18:17:02 +0000,1000,0,24,47,198
Fiszeczki,1,iphone,git,us,🇺🇸 US,,2025-02-11 18:17:35 +0000,1000,0,28,56,222
Fiszeczki,1,iphone,developer,us,🇺🇸 US,,2025-02-11 18:17:51 +0000,1000,0,35,88,237
Fiszeczki,1,iphone,programming,us,🇺🇸 US,,2025-02-11 18:18:11 +0000,1000,0,29,52,207
Fiszeczki,1,iphone,coding,us,🇺🇸 US,,2025-02-11 18:19:39 +0000,1000,0,43,84,234
Fiszeczki,1,iphone,java,us,🇺🇸 US,,2025-02-11 18:20:13 +0000,1000,0,36,57,187
Fiszeczki,1,iphone,linux,us,🇺🇸 US,,2025-02-11 18:20:30 +0000,1000,0,35,49,209
Fiszeczki,1,iphone,bash,us,🇺🇸 US,,2025-02-11 18:20:52 +0000,1000,0,25,57,216
Fiszeczki,1,iphone,aws,us,🇺🇸 US,,2025-02-11 18:21:03 +0000,1000,0,38,56,198
Fiszeczki,1,iphone,sql,us,🇺🇸 US,,2025-02-11 18:21:56 +0000,1000,0,31,50,193
Fiszeczki,1,iphone,docker,us,🇺🇸 US,,2025-02-11 18:22:10 +0000,1000,0,27,52,71
Fiszeczki,1,iphone,.net,us,🇺🇸 US,,2025-02-11 18:22:39 +0000,1000,0,5,90,231
Fiszeczki,1,iphone,django,us,🇺🇸 US,,2025-02-11 18:23:12 +0000,1000,0,18,53,192
Fiszeczki,1,iphone,web development,us,🇺🇸 US,,2025-02-11 18:23:51 +0000,1000,0,5,49,209
Fiszeczki,1,iphone,js,us,🇺🇸 US,,2025-02-11 18:24:14 +0000,1000,0,20,53,210
Fiszeczki,1,iphone,flash cards,us,🇺🇸 US,,2025-02-11 19:10:27 +0000,1000,0,48,63,238
Fiszeczki,1,iphone,flashcard,us,🇺🇸 US,,2025-02-11 19:10:38 +0000,1000,0,29,73,236
Fiszeczki,1,iphone,flash card,us,🇺🇸 US,,2025-02-11 19:10:46 +0000,1000,0,30,63,234
